movie,duration,metascore,gross,awards_nominations,golden_globes_nominated,oscar_nominated
The Amityville Horror,90,33.0,64260000.0,0,0,0
Green Street Hooligans,109,55.0,340000.0,0,0,0
House of Flying Daggers,119,89.0,11040000.0,30,1,1
The Golden Compass,113,51.0,70080000.0,6,0,1
Monster House,91,68.0,73660000.0,7,1,1
Hitch,118,58.0,177580000.0,3,0,0
The Constant Gardener,129,82.0,33570000.0,35,3,1
Saw,103,46.0,55150000.0,0,0,0
Idiocracy,84,66.0,440000.0,0,0,0
The Black Dahlia,121,49.0,22520000.0,1,0,1
Brokeback Mountain,134,87.0,83030000.0,77,7,1
Bee Movie,91,54.0,126600000.0,3,1,0
Click,107,45.0,137340000.0,1,0,1
Maria Full of Grace,101,87.0,6520000.0,14,0,1
Hotel Rwanda,121,79.0,23470000.0,18,3,1
The Devil's Rejects,107,53.0,16900000.0,0,0,0
The Pacifier,95,30.0,113010000.0,0,0,0
North Country,126,68.0,18320000.0,9,2,1
Perfume: The Story of a Murderer,147,56.0,2210000.0,1,0,0
Wedding Crashers,119,64.0,209220000.0,5,0,0
House of Wax,108,41.0,32050000.0,0,0,0
Memoirs of a Geisha,145,54.0,57010000.0,22,2,1
Bolt,96,67.0,114050000.0,6,2,1
The Longest Yard,113,48.0,158120000.0,3,0,0
Tangled,100,71.0,200810000.0,8,2,1
Bridge to Terabithia,96,74.0,82230000.0,2,0,0
A History of Violence,96,81.0,31490000.0,33,2,1
The Island,136,50.0,35800000.0,1,0,0
The Diving Bell and the Butterfly,112,92.0,5990000.0,34,3,1
A Good Year,117,47.0,7460000.0,1,0,0
John Carter,132,51.0,73060000.0,0,0,0
Sin City,124,74.0,74100000.0,12,0,0
Underworld: Evolution,106,36.0,62320000.0,0,0,0
The New World,135,69.0,12710000.0,9,0,1
The Sisterhood of the Traveling Pants,119,66.0,39010000.0,0,0,0
Little Children,136,75.0,5460000.0,21,3,1
The Lives of Others,137,89.0,11280000.0,13,1,1
Million Dollar Baby,132,86.0,100420000.0,32,5,1
Sky High,100,62.0,63940000.0,0,0,0
The 40-Year-Old Virgin,116,73.0,109240000.0,9,0,0
Zathura: A Space Adventure,101,67.0,28050000.0,1,0,0
Transamerica,103,66.0,9010000.0,10,2,1
War of the Worlds,116,73.0,234280000.0,6,0,1
The Departed,151,85.0,132370000.0,62,6,1
Sweeney Todd: The Demon Barber of Fleet Street,116,83.0,52880000.0,22,4,1
Munich,164,74.0,47380000.0,28,2,1
Poseidon,98,50.0,60660000.0,0,0,1
Watchmen,162,56.0,107500000.0,2,0,0
Hustle & Flow,116,68.0,22200000.0,10,1,1
The Lake House,99,52.0,52320000.0,1,0,0
Hellboy II: The Golden Army,120,78.0,75750000.0,4,0,1
Mrs Henderson Presents,103,71.0,11030000.0,18,3,1
Spider-Man 3,139,59.0,336530000.0,3,0,0
Elizabeth: The Golden Age,114,45.0,16260000.0,10,1,1
Pride & Prejudice,129,82.0,38370000.0,23,2,1
The Fountain,96,51.0,10140000.0,8,1,0
Mongol: The Rise of Genghis Khan,126,74.0,5700000.0,1,0,1
Match Point,119,72.0,23090000.0,7,4,1
300,117,52.0,210590000.0,6,0,0
Harry Potter and the Half-Blood Prince,153,78.0,301960000.0,9,0,1
Transformers,144,61.0,318760000.0,7,0,1
Flags of Our Fathers,135,79.0,33570000.0,6,1,1
Jarhead,125,58.0,62650000.0,5,0,0
Junebug,106,80.0,2680000.0,8,0,1
Yesterday,90,,,0,0,1
The Kite Runner,128,61.0,15800000.0,8,2,1
The Curious Case of Benjamin Button,166,70.0,127490000.0,64,5,1
Marie Antoinette,123,65.0,15960000.0,8,0,1
Surf's Up,85,64.0,58870000.0,2,0,1
Hard Candy,104,58.0,1010000.0,2,0,0
Joyeux Noel,116,70.0,1050000.0,2,1,1
Hot Fuzz,116,81.0,23620000.0,0,0,0
Lucky Number Slevin,110,53.0,22490000.0,0,0,0
Sophie Scholl: The Final Days,120,76.0,680000.0,0,0,1
Alpha Dog,122,53.0,15230000.0,1,0,0
August Rush,114,38.0,31660000.0,2,0,1
Failure to Launch,97,47.0,88660000.0,1,0,0
Hairspray,117,81.0,118820000.0,21,3,0
The A-Team,117,47.0,77210000.0,0,0,0
Four Brothers,109,49.0,74480000.0,1,0,0
P.S. I Love You,126,39.0,53680000.0,0,0,0
Resident Evil: Extinction,94,41.0,50650000.0,0,0,0
Fantastic Mr. Fox,87,83.0,21000000.0,18,1,1
Real Steel,127,56.0,85460000.0,0,0,1
"Good Night, and Good Luck.",93,80.0,31501218.0,51,4,1
V for Vendetta,132,62.0,70500000.0,2,0,0
The Giver,97,47.0,45090000.0,2,0,0
Toy Story 3,103,92.0,414980000.0,35,1,1
The Queen,103,,56437947.0,57,4,1
Terminator Salvation,115,49.0,125320000.0,0,0,0
The Bourne Ultimatum,115,85.0,227140000.0,18,0,1
Kung Fu Panda,92,73.0,215400000.0,10,1,1
Volver,121,84.0,12900000.0,21,2,1
Beowulf,115,59.0,82160000.0,2,0,0
Lincoln,150,86.0,182200000.0,74,7,1
Don't Tell,120,52.0,30000.0,0,0,1
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84,89.0,128510000.0,12,2,1
Dreamgirls,130,76.0,103338338.0,50,5,1
The Illusionist,110,68.0,39830000.0,3,0,1
The Assassination of Jesse James by the Coward Robert Ford,160,68.0,3900000.0,17,1,1
Zodiac,157,78.0,33050000.0,14,0,0
Days of Glory,120,82.0,320000.0,1,0,1
Paradise Now,90,71.0,1450000.0,3,1,1
Across the Universe,133,56.0,24340000.0,2,1,1
Scott Pilgrim vs. the World,112,69.0,31490000.0,11,0,0
Sunshine,107,64.0,3680000.0,2,0,0
Hancock,92,49.0,227950000.0,1,0,0
Puss in Boots,90,65.0,149230000.0,5,1,1
Little Miss Sunshine,101,80.0,59890000.0,43,2,1
Pirates of the Caribbean: At World's End,169,50.0,309400000.0,9,0,1
Babel,143,69.0,34300000.0,50,7,1
La Vie en Rose,140,66.0,10299782.0,22,1,1
Blood Diamond,143,64.0,57370000.0,6,1,1
Hostel,94,55.0,47280000.0,0,0,0
Death Race,105,43.0,36060000.0,0,0,0
Gone Baby Gone,114,72.0,20300000.0,14,1,1
The Good German,105,49.0,1300000.0,2,0,1
Lady in the Water,110,36.0,42270000.0,0,0,0
Deja Vu,126,59.0,64030000.0,0,0,0
The Hills Have Eyes,107,52.0,41780000.0,0,0,0
Inside Man,129,76.0,88500000.0,0,0,0
Life of Pi,127,79.0,124980000.0,44,3,1
The Pursuit of Happyness,117,64.0,162590000.0,6,2,1
She's the Man,105,45.0,1020000.0,0,0,0
The Last King of Scotland,123,74.0,17605861.0,19,1,1
Australia,165,53.0,49550000.0,3,0,1
The Equalizer,132,57.0,101530000.0,1,0,0
John Tucker Must Die,89,41.0,41010000.0,0,0,0
Grandma's Boy,94,33.0,6090000.0,0,0,0
Pan's Labyrinth,118,98.0,37620000.0,36,1,1
After the Wedding,120,78.0,1530000.0,0,0,1
The Holiday,138,52.0,63220000.0,0,0,0
Captain America: The First Avenger,124,66.0,176640000.0,2,0,0
The Devil Wears Prada,109,62.0,124730000.0,22,3,1
X-Men Origins: Wolverine,107,40.0,179880000.0,1,0,0
The Fall,117,64.0,2280000.0,4,0,0
Enchanted,107,75.0,127710000.0,8,2,1
Black Snake Moan,116,52.0,9400000.0,0,0,0
Grindhouse,191,77.0,25030000.0,0,0,0
Step Up,104,48.0,65270000.0,0,0,0
The Fast and the Furious: Tokyo Drift,104,46.0,62490000.0,0,0,0
Michael Clayton,119,82.0,49024969.0,36,4,1
Notes on a Scandal,92,73.0,17510000.0,22,3,1
The Other Boleyn Girl,115,50.0,26810000.0,0,0,0
Juno,96,81.0,143490000.0,35,3,1
Half Nelson,106,85.0,2690000.0,15,0,1
Tsotsi,94,70.0,2910000.0,3,1,1
The Dark Knight,152,82.0,533320000.0,65,1,1
There Will Be Blood,158,92.0,40220000.0,63,2,1
Ex Machina,108,78.0,25440000.0,33,1,1
Apocalypto,139,68.0,50860000.0,5,1,1
Charlie Wilson's War,102,69.0,66640000.0,10,5,1
Penelope,104,48.0,10010000.0,0,0,0
The Mechanic,93,49.0,29110000.0,0,0,0
Prince of Persia: The Sands of Time,116,50.0,90760000.0,1,0,0
Curse of the Golden Flower,114,70.0,6570000.0,4,0,1
United 93,111,90.0,31470000.0,26,0,1
"Hail, Caesar!",106,72.0,29997095.0,6,0,1
Smokin' Aces,108,45.0,35640000.0,0,0,0
Norbit,102,27.0,95320000.0,0,0,1
Unstoppable,98,69.0,81560000.0,1,0,1
Extremely Loud & Incredibly Close,129,46.0,31836745.0,7,0,1
Night at the Museum,108,48.0,250860000.0,0,0,0
No Country for Old Men,122,91.0,74270000.0,60,4,1
In the Valley of Elah,121,65.0,6780000.0,2,0,1
The Tree of Life,139,85.0,13300000.0,36,0,1
Knocked Up,129,85.0,148730000.0,4,0,0
Ant-Man,117,64.0,180190000.0,4,0,0
Rocky Balboa,102,63.0,70270000.0,0,0,0
Nancy Drew,99,53.0,25580000.0,0,0,0
I Am Legend,101,65.0,256390000.0,2,0,0
The Croods,98,55.0,187170000.0,5,1,1
The Prestige,130,66.0,53080000.0,10,0,1
The Strangers,86,47.0,52530000.0,0,0,0
The Secret of Kells,75,81.0,690000.0,0,0,1
Beerfest,110,46.0,19180000.0,0,0,0
Stardust,127,66.0,38350000.0,0,0,0
Disturbia,105,62.0,80050000.0,1,0,0
Fracture,113,68.0,39000000.0,0,0,0
12,159,72.0,130000.0,0,0,1
Chapter 27,84,32.0,60000.0,0,0,0
Jumper,88,35.0,80170000.0,0,0,0
Venus,95,82.0,3340000.0,9,1,1
Silence,161,79.0,860000.0,8,0,1
Away from Her,110,88.0,15830000.0,14,1,1
Wanted,110,64.0,134570000.0,2,0,1
Ocean's Thirteen,122,62.0,117140000.0,2,0,0
Vicky Cristina Barcelona,96,70.0,23210000.0,18,4,1
Letters from Iwo Jima,141,91.0,13753931.0,12,2,1
Avatar,162,83.0,760510000.0,46,4,1
Aliens vs. Predator: Requiem,94,29.0,41800000.0,0,0,0
Beaufort,131,,100000.0,0,0,1
Friday the 13th,97,34.0,65000000.0,0,0,0
Love & Other Drugs,112,55.0,32360000.0,2,2,0
Into the Wild,148,73.0,18350000.0,25,2,1
Music and Lyrics,96,59.0,50560000.0,0,0,0
Body of Lies,128,57.0,39380000.0,1,0,0
American Gangster,157,76.0,130130000.0,14,3,1
The Baader Meinhof Complex,150,76.0,480000.0,2,1,1
Eastern Promises,100,82.0,17110000.0,15,3,1
Fool's Gold,112,29.0,70220000.0,0,0,0
Man of Steel,143,55.0,291020000.0,4,0,0
The Illusionist,80,82.0,2230000.0,8,1,1
The Savages,113,85.0,6610000.0,6,1,1
Drive,100,78.0,35050000.0,44,1,1
The Princess and the Frog,97,73.0,104370000.0,10,1,1
In Bruges,107,67.0,7760000.0,17,3,1
The Wolfman,103,43.0,61940000.0,0,0,1
Atonement,123,85.0,50920000.0,55,7,1
The Boxtrolls,96,61.0,50810000.0,10,1,1
Dallas Buyers Club,117,84.0,27300000.0,26,2,1
The Messenger,113,77.0,70000.0,10,1,1
Jack Reacher,130,50.0,58680000.0,0,0,0
Death at a Funeral,87,67.0,8580000.0,0,0,0
Mamma Mia!,108,51.0,143700000.0,12,2,0
Star Trek,127,82.0,257700000.0,22,0,1
Forgetting Sarah Marshall,111,67.0,62880000.0,4,0,0
The Incredible Hulk,112,61.0,134520000.0,0,0,0
Clash of the Titans,106,39.0,163190000.0,0,0,0
Thor,115,57.0,181020000.0,2,0,0
Lars and the Real Girl,106,70.0,5950000.0,5,1,1
Angels & Demons,138,48.0,133380000.0,1,0,0
Funny Games,111,44.0,1290000.0,0,0,0
Persepolis,96,90.0,4440000.0,10,1,1
Bright Star,119,81.0,4440000.0,6,0,1
The Danish Girl,119,66.0,12710000.0,25,3,1
The Counterfeiters,98,78.0,5480000.0,1,0,1
Percy Jackson & the Olympians: The Lightning Thief,118,47.0,88760000.0,0,0,0
Seven Pounds,123,36.0,69950000.0,0,0,0
The Book Thief,131,53.0,21480000.0,3,1,1
Conan the Barbarian,113,36.0,21270000.0,0,0,0
Interstellar,169,74.0,187990000.0,24,1,1
World War Z,116,63.0,202350000.0,3,0,0
Valentine's Day,125,34.0,110480000.0,1,0,0
Shooter,124,53.0,46980000.0,0,0,0
Changeling,141,63.0,35710000.0,20,2,1
The Last Station,112,76.0,6620000.0,5,2,1
Superbad,113,76.0,121460000.0,5,0,0
Quantum of Solace,106,58.0,168370000.0,8,0,0
Godzilla,123,62.0,200660000.0,0,0,0
"Definitely, Maybe",112,59.0,31970000.0,0,0,0
Underworld: Rise of the Lycans,92,44.0,45800000.0,0,0,0
Step Brothers,98,51.0,100470000.0,0,0,0
The Town,125,74.0,92170000.0,14,1,1
The Kids Are All Right,106,86.0,20800000.0,35,4,1
The Last House on the Left,110,42.0,32720000.0,0,0,0
The Avengers,143,69.0,623280000.0,16,0,1
The House Bunny,97,55.0,48240000.0,0,0,0
The Visitor,104,79.0,9420000.0,7,0,1
The Duchess,110,62.0,13820000.0,8,1,1
Frost/Nixon,122,80.0,18593156.0,37,5,1
Nine,118,49.0,19670000.0,23,5,1
The Blind Side,129,53.0,255950000.0,6,1,1
Katyn,121,81.0,120000.0,1,0,1
The Mist,126,58.0,25590000.0,0,0,0
Burn After Reading,96,63.0,60340000.0,8,2,0
The Hurt Locker,131,94.0,15700000.0,65,3,1
The Switch,101,52.0,27760000.0,0,0,0
How to Train Your Dragon,98,74.0,217390000.0,12,1,1
The Road,111,64.0,60000.0,7,0,0
Bride Wars,89,24.0,58720000.0,1,0,0
The Hobbit: An Unexpected Journey,169,58.0,303000000.0,15,0,1
Once,85,88.0,9440000.0,9,0,1
Pineapple Express,111,64.0,87340000.0,1,1,0
WALL·E,98,94.0,223810000.0,38,2,1
The Boy in the Striped Pajamas,94,55.0,9030000.0,1,0,0
Unthinkable,97,,,0,0,0
Doubt,104,68.0,33420000.0,35,5,1
Harry Potter and the Deathly Hallows: Part 1,146,65.0,294980000.0,9,0,1
Precious,110,79.0,47540000.0,37,3,1
Rabbit Hole,91,76.0,2220000.0,4,1,1
The Last Airbender,103,20.0,131560000.0,0,0,0
Tropic Thunder,107,71.0,110420000.0,14,2,1
Salt,100,65.0,118310000.0,1,0,1
Source Code,93,74.0,54700000.0,0,0,0
Black Swan,108,79.0,106950000.0,74,4,1
The Amazing Spider-Man,136,66.0,262030000.0,7,0,0
Paris 36,120,40.0,850000.0,0,0,1
The Happening,91,34.0,64510000.0,0,0,0
Robin Hood,140,53.0,105220000.0,5,0,0
Revolutionary Road,119,69.0,22880000.0,20,4,1
You Don't Mess with the Zohan,113,54.0,100020000.0,0,0,0
The Young Victoria,105,64.0,10990000.0,8,1,1
"Angus, Thongs and Perfect Snogging",100,,,1,0,0
The Fighter,116,79.0,93570000.0,43,6,1
Hugo,126,83.0,73820000.0,59,3,1
The Day the Earth Stood Still,104,40.0,79360000.0,0,0,0
17 Again,102,48.0,64150000.0,1,0,0
Hitchcock,98,55.0,6000000.0,5,1,1
The Reader,124,58.0,34180000.0,22,4,1
Frozen River,97,82.0,2510000.0,7,0,1
Sucker Punch,110,33.0,36380000.0,0,0,0
The Adventures of Tintin,107,68.0,77560000.0,11,1,1
Valkyrie,121,56.0,83080000.0,0,0,0
Sherlock Holmes,128,57.0,209020000.0,4,1,1
Hanna,111,65.0,40250000.0,6,0,0
The Wolf of Wall Street,180,75.0,116870000.0,39,2,1
Sex and the City,145,53.0,152640000.0,3,0,0
He's Just Not That Into You,129,47.0,93950000.0,1,0,0
Zack and Miri Make a Porno,101,56.0,31450000.0,0,0,0
The Iron Lady,105,54.0,29959436.0,16,1,1
Slumdog Millionaire,120,86.0,141320000.0,64,4,1
Fast & Furious,107,45.0,155020000.0,0,0,0
Milk,128,84.0,31838002.0,55,1,1
Alice in Wonderland,108,53.0,334190000.0,21,3,1
Child 44,137,41.0,1210000.0,0,0,0
The Sisterhood of the Traveling Pants 2,119,63.0,44090000.0,0,0,0
A Serious Man,106,79.0,9190000.0,23,1,1
Selma,128,89.0,52066000.0,20,4,1
500 Days of Summer,95,76.0,32390000.0,17,2,0
Never Back Down,110,39.0,24850000.0,0,0,0
The Way Back,133,66.0,2680000.0,1,0,1
Il Divo,110,81.0,240000.0,0,0,1
Argo,120,86.0,136020000.0,60,5,1
Death Proof,113,,,0,0,0
Hachi: A Dog's Tale,93,,,0,0,0
Secretariat,123,61.0,59700000.0,0,0,0
RocknRolla,114,53.0,5690000.0,0,0,0
The Descendants,115,84.0,82620000.0,48,5,1
Defiance,137,58.0,28620000.0,1,1,1
Coco Before Chanel,105,65.0,6110000.0,7,0,1
The Book of Eli,118,53.0,94820000.0,0,0,0
The Proposal,108,48.0,163950000.0,5,1,0
Silver Linings Playbook,122,81.0,132090000.0,44,4,1
Happy-Go-Lucky,118,84.0,3490000.0,22,2,1
G.I. Joe: The Rise of Cobra,118,32.0,150170000.0,0,0,0
Up,96,88.0,292980000.0,32,2,1
The Imaginarium of Doctor Parnassus,123,65.0,7690000.0,5,0,1
Life as We Know It,114,39.0,53360000.0,0,0,0
Transformers: Revenge of the Fallen,150,35.0,402080000.0,2,0,1
Invictus,134,74.0,37480000.0,11,3,1
Cloverfield,85,64.0,80030000.0,0,0,0
Boyhood,165,100.0,25360000.0,68,5,1
The Class,128,92.0,3770000.0,4,0,1
Departures,130,68.0,1540000.0,0,0,1
Skyfall,143,81.0,304360000.0,39,1,1
Ajami,124,82.0,620000.0,0,0,1
Dark Shadows,113,55.0,79710000.0,1,0,0
My Sister's Keeper,109,51.0,49190000.0,0,0,0
Rachel Getting Married,113,82.0,12800000.0,20,1,1
Lone Survivor,121,60.0,125070000.0,4,0,1
Dragonball: Evolution,85,45.0,9350000.0,0,0,0
Twilight,122,56.0,191450000.0,4,0,0
Foxcatcher,134,81.0,12100000.0,19,3,1
TRON: Legacy,125,49.0,172050000.0,8,0,1
The Hangover,100,73.0,277310000.0,8,1,0
Blue Valentine,112,81.0,9700000.0,11,2,1
The Ides of March,101,67.0,40960000.0,10,4,1
The Wrestler,109,81.0,26240000.0,30,3,1
Burlesque,119,47.0,39440000.0,5,3,0
Drag Me to Hell,99,83.0,42060000.0,0,0,0
Shutter Island,138,63.0,127970000.0,6,0,0
Jennifer's Body,102,47.0,16200000.0,0,0,0
Green Lantern,114,39.0,116590000.0,0,0,0
Julie & Julia,118,66.0,94130000.0,17,2,1
District 9,112,81.0,115650000.0,40,1,1
Frankenweenie,87,74.0,35290000.0,11,1,1
Orphan,123,42.0,41570000.0,0,0,0
The White Ribbon,144,82.0,2220000.0,14,1,1
Public Enemies,140,70.0,97030000.0,3,0,0
"I Love You, Man",105,70.0,71350000.0,1,0,0
The Karate Kid,140,61.0,176590000.0,2,0,0
Zombieland,88,73.0,75590000.0,1,0,0
Biutiful,148,58.0,5100000.0,6,1,1
The Hobbit: The Desolation of Smaug,161,66.0,258360000.0,17,0,1
Demolition,101,49.0,1820000.0,0,0,0
Revanche,121,84.0,,2,0,1
An Education,100,85.0,12570000.0,36,1,1
All Good Things,101,57.0,580000.0,0,0,0
10 Cloverfield Lane,104,76.0,71900000.0,5,0,0
The Lincoln Lawyer,118,63.0,57980000.0,0,0,0
2012,158,49.0,166110000.0,2,0,0
Rango,107,75.0,123210000.0,14,1,1
Up in the Air,109,83.0,83810000.0,67,6,1
The Bourne Legacy,135,61.0,113170000.0,1,0,0
Law Abiding Citizen,109,34.0,73340000.0,0,0,0
Harry Potter and the Deathly Hallows: Part 2,130,87.0,380960000.0,26,0,1
The Muppets,103,75.0,88630000.0,11,0,1
Ouija,89,38.0,50820000.0,0,0,0
Gran Torino,116,72.0,148090000.0,5,1,0
The Milk of Sorrow,94,68.0,10000.0,0,0,1
Moneyball,133,87.0,75610000.0,26,4,1
The Lone Ranger,150,37.0,89290000.0,0,0,1
Doctor Strange,115,72.0,231910330.0,16,0,1
Hereafter,129,56.0,32740000.0,0,0,1
Lawless,116,58.0,37400000.0,1,0,0
Cars 2,106,57.0,191450000.0,3,1,0
Leap Year,100,33.0,10000.0,0,0,0
Brave,93,69.0,237280000.0,11,1,1
Limitless,105,59.0,79240000.0,2,0,0
Resident Evil: Afterlife,97,37.0,60130000.0,1,0,0
I Am Love,120,79.0,5000000.0,7,1,1
In the Loop,106,83.0,2380000.0,17,0,1
Iron Man 2,124,57.0,312060000.0,4,0,1
Mission: Impossible - Ghost Protocol,133,73.0,209360000.0,3,0,0
Outside the Law,138,59.0,,0,0,1
Jane Eyre,120,76.0,11230000.0,5,0,1
It's Complicated,120,57.0,112700000.0,6,3,0
